"","one.lon","one.lat"
"1","124.710787","10.873864"
"2","124.785087","10.755112"
"3","124.713969","10.871431"
"4","124.714253","10.871551"
"5","124.716381","10.869115"
"6","124.776965","10.633482"
"7","124.783681","10.769081"
"8","124.710552","10.873866"
"9","124.776062","10.635213"
"10","124.721751","10.860951"
"11","124.712148","10.873490"
"12","124.711379","10.873756"
"13","124.724307","10.858372"
"14","124.714112","10.871634"
"15","124.714144","10.871536"
"16","124.716071","10.869741"
"17","124.721685","10.860980"
"18","124.722376","10.860200"
"19","124.722379","10.860061"
"20","124.725622","10.856693"
"21","124.712321","10.873273"
"22","124.712244","10.873308"
"23","124.712148","10.873490"
"24","124.711904","10.873557"
"25","124.710642","10.873860"
"26","124.710624","10.873844"
"27","124.710725","10.874198"
"28","124.710553","10.874007"
"29","124.710514","10.873886"
"30","124.710907","10.873823"
"31","124.710920","10.873735"
"32","124.711015","10.873575"
"33","124.711125","10.873652"
"34","124.711159","10.873714"
"35","124.783787","10.652583"
"36","124.727326","10.855167"
"37","124.785283","10.764339"
"38","124.725689","10.856429"
"39","124.776761","10.634374"
"40","124.783819","10.652146"
"41","124.776876","10.633762"
"42","124.710918","10.874248"
"43","124.710864","10.874333"
"44","124.713819","10.871776"
"45","124.714029","10.871644"
"46","124.714040","10.871457"
"47","124.714255","10.871527"
"48","124.714468","10.870879"
"49","124.715812","10.869908"
"50","124.776123","10.635133"
"51","124.776737","10.634489"
"52","124.721522","10.861266"
"53","124.721620","10.861033"
"54","124.724721","10.857481"
"55","124.725692","10.856591"
"56","124.7503959853","10.8309170790"
"57","124.711873","10.872858"
"58","124.712018","10.872942"
"59","124.776807","10.633564"
"60","124.786347","10.743886"
"61","124.710864","10.874333"
"62","124.721845","10.861044"
"63","124.721881","10.860953"
"64","124.721920","10.860917"
"65","124.722687","10.859772"
"66","124.713976","10.871439"
"67","124.713891","10.871954"
"68","124.713819","10.871776"
"69","124.713866","10.871743"
"70","124.713870","10.871702"
"71","124.714002","10.871705"
"72","124.714037","10.871700"
"73","124.714034","10.871652"
"74","124.714029","10.871644"
"75","124.713967","10.871594"
"76","124.713963","10.871547"
"77","124.713925","10.871535"
"78","124.713978","10.871433"
"79","124.714409","10.871358"
"80","124.715195","10.870486"
"81","124.714152","10.871526"
"82","124.714258","10.871536"
"83","124.714255","10.871527"
"84","124.714237","10.871458"
"85","124.714218","10.871426"
"86","124.714215","10.871419"
"87","124.714468","10.870879"
"88","124.714802","10.870559"
"89","124.714834","10.870462"
"90","124.776123","10.635133"
"91","124.776302","10.634762"
"92","124.776457","10.634680"
"93","124.776605","10.634470"
"94","124.776734","10.634280"
"95","124.776601","10.633966"
"96","124.721498","10.861269"
"97","124.721608","10.861287"
"98","124.721697","10.861184"
"99","124.721731","10.861132"
"100","124.721620","10.861033"
"101","124.721713","10.860935"
"102","124.721751","10.860951"
"103","124.721727","10.861016"
"104","124.721625","10.861009"
"105","124.724721","10.857481"
"106","124.710992","10.873855"
"107","124.710657","10.873877"
"108","124.776994","10.632998"
"109","124.777046","10.633129"
"110","124.712031","10.873107"
"111","124.712024","10.872942"
"112","124.712177","10.873035"
"113","124.712178","10.873089"
"114","124.712163","10.873210"
"115","124.776801","10.633605"
"116","124.776649","10.633642"
"117","124.726788","10.855303"
"118","124.785259","10.764194"
"119","124.776675","10.633642"
"120","124.776794","10.633676"
"121","124.776881","10.633831"
"122","124.776851","10.633842"
"123","124.712170","10.873137"
"124","124.712018","10.872942"
"125","124.711958","10.872926"
"126","124.7507586703","10.8309191745"
"127","124.710552","10.873866"
"128","124.710427","10.874161"
"129","124.776640","10.634262"
"130","124.776651","10.634501"
"131","124.776108","10.635236"
"132","124.716485","10.868876"
"133","124.716405","10.869097"
"134","124.714007","10.871453"
"135","124.714138","10.871387"
"136","124.710673","10.874410"
"137","124.765319","10.809147"
"138","124.776343","10.634608"
"139","124.776108","10.635236"
"140","124.776152","10.635201"
"141","124.716423","10.869071"
"142","124.711788","10.872936"
"143","124.765348","10.809252"
"144","124.786624","10.743582"
"145","124.727728","10.855047"
"146","124.777013","10.633016"
"147","124.776781","10.633793"
"148","124.711264","10.873695"
"149","124.785206","10.763843"
"150","124.725626","10.856426"
"151","124.725692","10.856591"
"152","124.713941","10.871420"
"153","124.710869","10.873882"
"154","124.776876","10.633762"
"155","124.721553","10.861254"
"156","124.785318","10.764416"
"157","124.776712","10.634280"
"158","124.713736","10.871961"
"159","124.776062","10.635213"
"160","124.716338","10.869275"
"161","124.712188","10.873011"
"162","124.714121","10.871511"
"163","124.776762","10.634402"
"164","124.713973","10.871557"
"165","124.712125","10.873417"
"166","124.721740","10.861005"
"167","124.715116","10.870293"
"168","124.780240","10.640730"
"169","124.776777","10.633650"
"170","124.721893","10.860782"
"171","124.711925","10.872912"
"172","124.710718","10.874199"
"173","124.776251","10.634852"
"174","124.786347","10.743886"
"175","124.710510","10.873954"
"176","124.776224","10.635088"
"177","124.776768","10.634294"
"178","124.722686","10.859822"
"179","124.779731","10.640679"
"180","124.721553","10.861254"
"181","124.783510","10.652867"
"182","124.721613","10.861228"
"183","124.721479","10.861257"
"184","124.776499","10.634084"
"185","124.712054","10.873111"
"186","124.776734","10.634500"
"187","124.711553","10.873610"
"188","124.713813","10.871811"
"189","124.776961","10.633491"
"190","124.710521","10.874064"
"191","124.716176","10.869575"
"192","124.777040","10.633181"
"193","124.776069","10.635223"
"194","124.776876","10.633762"
"195","124.776365","10.634499"
"196","124.710552","10.873866"
"197","124.776345","10.634634"
"198","124.716338","10.869159"
"199","124.710773","10.874411"
"200","124.711958","10.872926"
"201","124.715922","10.869844"
"202","124.710608","10.874451"
"203","124.776761","10.634374"
"204","124.776215","10.635068"
"205","124.710842","10.874340"
"206","124.776365","10.634499"
"207","124.710427","10.874161"
"208","124.776343","10.634608"
"209","124.710920","10.873735"
"210","124.721522","10.861266"
"211","124.711019","10.873589"
"212","124.710673","10.874410"
"213","124.776302","10.634762"
"214","124.781404","10.640630"
"215","124.713930","10.871502"
"216","124.776302","10.634762"
"217","124.785318","10.764416"
"218","124.716176","10.869575"
"219","124.714468","10.870879"
"220","124.713963","10.871413"
